generation_id,candidate_id,candidate_tag,receiver_height,r_min,packing,inner_bias,azimuth_multiplier,beta_deg,bubble_radius,delta,flat_receiver_radius,flat_receiver_tilt,min_tower_clearance,num_heliostats,radial_multiplier,split_threshold,fitnessValue
000,0166,HASL_000_0166,50.236366,27.102351,0.870440,0.363536,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.438022
000,0165,HASL_000_0165,54.648752,29.004388,0.813585,0.380293,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.419870
000,0164,HASL_000_0164,50.628279,17.429351,0.854889,0.156534,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.412558
000,0163,HASL_000_0163,40.790018,15.134334,0.589124,0.073953,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.439547
000,0162,HASL_000_0162,69.319043,10.596753,0.590915,0.342136,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.343329
000,0161,HASL_000_0161,41.029583,18.747962,0.790768,0.158358,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.424541
000,0160,HASL_000_0160,67.836528,13.223185,0.614883,0.605085,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.356892
000,0159,HASL_000_0159,55.753731,27.513780,0.501746,0.035316,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.415836
000,0158,HASL_000_0158,58.226087,26.300101,0.787446,0.768021,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.408556
000,0157,HASL_000_0157,47.772605,28.845416,0.421211,0.507335,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.442766
000,0156,HASL_000_0156,60.864267,28.581501,0.724494,0.044051,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.396844
000,0155,HASL_000_0155,44.709214,29.674438,0.808871,0.546643,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.453138
000,0154,HASL_000_0154,68.646436,15.624068,0.458714,0.184471,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.351742
000,0153,HASL_000_0153,59.299848,15.363845,0.514442,0.292449,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.385376
000,0152,HASL_000_0152,58.824815,29.081857,0.812344,0.355039,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.404905
000,0151,HASL_000_0151,55.128632,25.006862,0.630149,0.578183,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.409495
000,0150,HASL_000_0150,65.891639,21.929782,0.684512,0.621740,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.364974
